dataset,seed,n_cal_fraud,resample,target,achieved,alert_pct,degenerate
K,42,25,5,0.9,1.0,100.0,True
K,42,25,5,0.95,1.0,100.0,True
K,42,25,6,0.8,0.8266,0.9906,False
K,42,25,6,0.9,0.9417,41.3979,False
K,42,25,6,0.95,0.9417,41.3979,False
K,42,25,7,0.8,0.8867,15.8278,False
K,42,25,7,0.9,0.8867,15.8278,False
K,42,25,7,0.95,0.8867,15.8278,False
K,42,25,8,0.8,0.7907,0.7806,False
K,42,25,8,0.9,0.9888,82.6905,True
K,42,25,8,0.95,0.9888,82.6905,True
K,42,25,9,0.8,0.9417,41.3979,False
K,42,25,9,0.9,1.0,100.0,True
K,42,25,9,0.95,1.0,100.0,True
K,42,25,10,0.8,0.7249,0.5882,False
K,42,25,10,0.9,0.9888,82.6905,True
K,42,25,10,0.95,0.9888,82.6905,True
K,42,25,11,0.8,0.765,0.6932,False
K,42,25,11,0.9,0.9021,20.9475,False
K,42,25,11,0.95,0.9021,20.9475,False
K,42,25,12,0.8,0.765,0.6932,False
K,42,25,12,0.9,0.9888,82.6905,True
K,42,25,12,0.95,0.9888,82.6905,True
K,42,25,13,0.8,0.8191,0.9188,False
K,42,25,13,0.9,0.9417,41.3979,False
K,42,25,13,0.95,0.9417,41.3979,False
K,42,25,14,0.8,0.7907,0.7806,False
K,42,25,14,0.9,1.0,100.0,True
K,42,25,14,0.95,1.0,100.0,True
K,42,25,15,0.8,0.9417,41.3979,False
K,42,25,15,0.9,1.0,100.0,True
K,42,25,15,0.95,1.0,100.0,True
K,42,25,16,0.8,0.8867,15.8278,False
K,42,25,16,0.9,1.0,100.0,True
K,42,25,16,0.95,1.0,100.0,True
K,42,25,17,0.8,0.9021,20.9475,False
K,42,25,17,0.9,1.0,100.0,True
K,42,25,17,0.95,1.0,100.0,True
K,42,25,18,0.8,0.7907,0.7806,False
K,42,25,18,0.9,0.8867,15.8278,False
K,42,25,18,0.95,0.8867,15.8278,False
K,42,25,19,0.8,0.765,0.6932,False
K,42,25,19,0.9,1.0,100.0,True
K,42,25,19,0.95,1.0,100.0,True
K,42,25,20,0.8,0.8867,15.8278,False
K,42,25,20,0.9,0.9888,82.6905,True
K,42,25,20,0.95,0.9888,82.6905,True
K,42,25,21,0.8,0.8079,0.8425,False
K,42,25,21,0.9,0.9888,82.6905,True
K,42,25,21,0.95,0.9888,82.6905,True
K,42,25,22,0.8,0.8867,15.8278,False
K,42,25,22,0.9,0.9888,82.6905,True
K,42,25,22,0.95,0.9888,82.6905,True
K,42,25,23,0.8,0.765,0.6932,False
K,42,25,23,0.9,0.9888,82.6905,True
K,42,25,23,0.95,0.9888,82.6905,True
K,42,25,24,0.8,0.8266,0.9906,False
K,42,25,24,0.9,0.8867,15.8278,False
K,42,25,24,0.95,0.8867,15.8278,False
K,42,25,25,0.8,0.8867,15.8278,False
K,42,25,25,0.9,0.9417,41.3979,False
K,42,25,25,0.95,0.9417,41.3979,False
K,42,25,26,0.8,0.7907,0.7806,False
K,42,25,26,0.9,1.0,100.0,True
K,42,25,26,0.95,1.0,100.0,True
K,42,25,27,0.8,0.8867,15.8278,False
K,42,25,27,0.9,0.9888,82.6905,True
K,42,25,27,0.95,0.9888,82.6905,True
K,42,25,28,0.8,0.9417,41.3979,False
K,42,25,28,0.9,0.9888,82.6905,True
K,42,25,28,0.95,0.9888,82.6905,True
K,42,25,29,0.8,0.9417,41.3979,False
K,42,25,29,0.9,0.9888,82.6905,True
K,42,25,29,0.95,0.9888,82.6905,True
K,42,25,30,0.8,0.765,0.6932,False
K,42,25,30,0.9,0.8867,15.8278,False
K,42,25,30,0.95,0.8867,15.8278,False
K,42,25,31,0.8,0.8266,0.9906,False
K,42,25,31,0.9,0.9888,82.6905,True
K,42,25,31,0.95,0.9888,82.6905,True
K,42,25,32,0.8,0.7249,0.5882,False
K,42,25,32,0.9,0.9888,82.6905,True
K,42,25,32,0.95,0.9888,82.6905,True
K,42,25,33,0.8,0.8867,15.8278,False
K,42,25,33,0.9,0.9888,82.6905,True
K,42,25,33,0.95,0.9888,82.6905,True
K,42,25,34,0.8,0.8867,15.8278,False
K,42,25,34,0.9,0.9888,82.6905,True
K,42,25,34,0.95,0.9888,82.6905,True
K,42,25,35,0.8,0.9021,20.9475,False
K,42,25,35,0.9,0.9888,82.6905,True
K,42,25,35,0.95,0.9888,82.6905,True
K,42,25,36,0.8,0.7249,0.5882,False
K,42,25,36,0.9,0.8079,0.8425,False
K,42,25,36,0.95,0.8079,0.8425,False
K,42,25,37,0.8,0.9888,82.6905,True
K,42,25,37,0.9,1.0,100.0,True
K,42,25,37,0.95,1.0,100.0,True
K,42,25,38,0.8,0.9417,41.3979,False
K,42,25,38,0.9,1.0,100.0,True
K,42,25,38,0.95,1.0,100.0,True
K,42,25,39,0.8,0.8867,15.8278,False
K,42,25,39,0.9,0.9888,82.6905,True
K,42,25,39,0.95,0.9888,82.6905,True
K,42,30,0,0.8,0.7907,0.7806,False
K,42,30,0,0.9,0.9888,82.6905,True
K,42,30,0,0.95,1.0,100.0,True
K,42,30,1,0.8,0.765,0.6932,False
K,42,30,1,0.9,0.9888,82.6905,True
K,42,30,1,0.95,0.9888,82.6905,True
K,42,30,2,0.8,0.9021,20.9475,False
K,42,30,2,0.9,0.9888,82.6905,True
K,42,30,2,0.95,0.9888,82.6905,True
K,42,30,3,0.8,0.8191,0.9188,False
K,42,30,3,0.9,0.9021,20.9475,False
K,42,30,3,0.95,0.9888,82.6905,True
K,42,30,4,0.8,0.9021,20.9475,False
K,42,30,4,0.9,0.9888,82.6905,True
K,42,30,4,0.95,0.9888,82.6905,True
K,42,30,5,0.8,0.8331,1.0505,False
K,42,30,5,0.9,0.9417,41.3979,False
K,42,30,5,0.95,0.9417,41.3979,False
K,42,30,6,0.8,0.765,0.6932,False
K,42,30,6,0.9,0.9021,20.9475,False
K,42,30,6,0.95,0.9888,82.6905,True
K,42,30,7,0.8,0.8331,1.0505,False
K,42,30,7,0.9,0.8867,15.8278,False
K,42,30,7,0.95,0.9888,82.6905,True
K,42,30,8,0.8,0.9431,41.6869,False
K,42,30,8,0.9,0.9888,82.6905,True
K,42,30,8,0.95,1.0,100.0,True
K,42,30,9,0.8,0.8867,15.8278,False
K,42,30,9,0.9,0.9888,82.6905,True
K,42,30,9,0.95,0.9888,82.6905,True
